UniprotID,symbol,BL1,BL2,BL3,BL4,BL5,BL6,BL7,BL8,BL9,BL10,AMS1,AMS2,AMS3,AMS4,AMS5,AMS6,AMS7,AMS8,AMS9,AMS10
Q9HD89,RETN,4.98417,4.72263,6.36064,6.12153,4.11663,4.94174,6.51089,5.66184,5.54108,5.30944,5.16142,4.9875,6.00093,6.31996,4.34414,5.2319,6.69946,6.02255,5.00699,5.66416
Q9P0V8,SLAMF8,1.86221,1.66734,1.71243,1.65133,1.32009,1.74318,1.61609,1.45958,2.1804,0.99885,1.97431,1.751,1.52789,1.61187,1.32128,1.84892,1.703,1.9232,1.9905,1.35323
O00585,CCL21,0.78058,1.14523,1.03949,0.89868,0.76554,0.34228,1.02755,1.28876,0.26374,0.78612,0.96592,0.93404,0.77835,1.23099,0.81817,0.68322,1.25176,1.48029,0.27757,0.7241
Q99497,PARK7,4.62104,5.19341,5.77356,5.20369,5.84929,5.12618,5.17681,4.99048,5.14051,4.89799,3.89294,4.44114,4.5837,5.01645,4.81764,5.43819,4.51118,6.51588,4.16468,5.3256
O00548,DLL1,11.64596,11.18767,11.43885,11.44341,11.649,11.07448,11.20457,11.65099,11.46405,11.53139,11.57763,11.31786,11.57528,11.73313,11.31432,11.61919,11.15855,11.86434,11.50094,11.53023
P18827,SDC1,7.17642,6.42263,8.89251,7.57361,8.05494,6.77282,6.82389,7.56533,8.29936,7.49913,7.15385,6.67664,8.41275,7.54775,7.10111,6.94116,6.51415,7.74856,7.80588,7.66522
P16422,EPCAM,6.93748,6.81025,5.31519,6.05275,6.92751,5.97395,6.21317,5.98271,6.36717,5.16277,6.99585,6.52058,5.30281,6.32461,6.94246,5.63944,5.8577,6.14654,5.51292,5.244
P50452,SERPINB8,-0.0147,0.18923,,-0.01408,-0.22355,-0.72481,0.66695,-0.42467,0.16172,,-0.24219,0.27945,,-0.51009,-0.91767,-0.60344,1.04682,-0.30195,-0.59248,
Q9NNX6,CD209,5.11261,4.89313,4.29351,5.23263,5.72796,4.34019,4.88047,4.43679,4.56868,4.35805,5.31406,4.90713,4.55095,5.65421,5.53468,4.58683,4.89841,4.6243,4.74936,3.94139
P0CG37,CFC1,1.2818,1.11748,1.25695,1.19988,1.94045,1.12439,1.45737,1.03993,1.45929,1.33767,1.29934,1.38049,1.13454,1.51355,1.87371,1.49935,1.45509,1.16107,1.13129,1.59954
P06127,CD5,5.03665,4.92377,5.2782,4.77454,4.9313,5.00301,5.17426,5.20166,5.19563,5.52081,5.02403,5.36821,5.27135,5.13905,4.7377,5.09232,5.24106,5.45271,4.84637,5.7901
P13236,CCL4,7.10196,7.15268,7.39688,7.55857,5.77448,7.16977,5.81692,6.42898,6.44614,6.47475,6.73666,7.59068,7.48722,7.36414,6.01743,7.39828,5.6845,7.37532,6.37894,6.67116
Q10589,BST2,5.37009,4.7411,5.10931,4.85002,5.28145,4.59752,5.35434,4.63663,4.92861,4.97077,5.35179,5.09747,5.0429,5.22505,5.12396,4.6334,5.18938,4.96808,4.8514,5.14639
Q9UHL4,DPP7,1.90879,2.26854,,3.22871,1.44338,1.96726,2.78471,2.24528,2.42572,,1.65567,2.58851,,2.58003,1.64328,3.54144,2.76309,3.58638,2.48344,
P08236,GUSB,2.34021,2.25016,2.71313,2.30496,2.31383,2.79806,3.08498,1.65912,1.66393,1.83312,2.3204,2.79755,1.95161,2.75927,2.88864,2.09947,3.11204,2.60124,2.21252,2.30218
O14793,MSTN,4.83669,3.55616,3.92068,4.0768,4.57017,4.07594,4.33639,4.9971,4.42089,4.11083,4.63814,3.59725,3.86054,4.76336,4.62308,4.56377,4.6782,4.55067,4.52158,4.3136
P80188,LCN2,,-0.20195,0.20356,-0.61467,-0.31405,-0.77887,-0.42454,-0.52356,0.13362,-0.4681,,-0.18811,0.27626,-0.27635,-0.41967,-0.65762,-0.18635,0.03201,-0.38497,-0.08564
Q9NWQ8,PAG1,2.84977,2.71682,,3.37524,3.49839,2.99957,3.89855,3.52495,2.88778,,2.81959,2.90876,,3.13139,3.01345,5.03176,4.02258,4.043,3.31477,
P41227,NAA10,3.00135,2.43488,4.96975,3.14199,2.64057,2.85369,3.32993,3.17131,3.68206,2.52424,2.5307,3.18463,3.75197,3.97876,2.72236,4.78662,2.31883,6.0753,3.04797,4.41178
Q13867,BLMH,3.82815,3.58315,3.99233,3.12771,4.0646,4.02462,3.83925,3.5136,3.42096,3.67302,3.61477,3.60341,3.34233,3.30667,3.97518,3.82382,3.2814,4.18646,2.89142,3.62151
Q9UK85,DKKL1,1.14294,1.71182,1.80049,1.55385,0.16042,0.60852,0.18428,1.82442,0.5573,1.53716,1.10457,1.76281,1.56096,1.90859,0.05488,1.05192,0.48007,1.84492,0.43141,1.6958
P15291,B4GALT1,1.19086,1.25059,1.55895,1.19375,1.79074,0.78533,1.37231,1.31713,1.59794,1.31966,1.31715,1.06266,1.22409,1.47089,1.62963,1.24634,1.40933,1.66968,1.82485,1.43989
O00300,TNFRSF11B,9.95386,9.89495,9.9124,9.61051,10.35748,10.03824,9.90171,9.97693,10.08115,10.10266,10.17869,10.32115,9.70612,9.82657,10.02762,10.38191,10.09797,10.64771,9.89312,9.90664
