UniprotID,symbol,BL1,BL2,BL3,BL4,BL5,BL6,BL7,BL8,BL9,BL10,AMS1,AMS2,AMS3,AMS4,AMS5,AMS6,AMS7,AMS8,AMS9,AMS10
Q6YHK3,CD109,3.77517,3.80426,3.53038,3.10781,3.93028,3.82047,3.78407,3.1592,3.00625,3.88023,3.9185,3.47173,3.75223,3.76742,3.61234,3.50984,4.21547,3.94366,3.50565,3.44224
P08648,ITGA5,3.83828,4.21076,3.42315,3.48912,3.93786,3.20449,3.56525,3.91407,3.25225,3.54727,3.60039,4.01608,3.62568,3.81584,3.87684,3.17513,3.71202,4.15386,3.56447,3.45023
O43278,SPINT1,1.01368,0.79732,0.82627,0.71125,0.96777,0.41173,0.66865,0.79657,0.68675,0.62637,1.17192,0.62292,0.87543,0.99447,0.77084,0.3187,0.81803,1.1783,0.65463,0.65597
P30044,PRDX5,5.56159,5.05112,5.99826,4.51441,5.3094,6.06096,5.86197,4.76584,5.83446,4.70354,5.29819,5.05612,5.70878,5.82935,6.14663,6.64889,3.87888,7.57181,4.8528,6.83059
Q15661,TPSAB1,2.6884,2.66406,3.41544,2.35503,2.86566,2.58129,2.54103,2.82882,2.77826,2.86726,2.57657,2.9051,3.58393,3.00622,2.37398,2.99938,2.32315,3.1606,2.75375,2.8746
Q96NY8,NECTIN4,5.31907,4.35534,4.72939,4.91503,5.27812,4.81711,4.7168,5.20687,4.96515,5.07357,5.33792,4.69514,5.14166,5.25031,4.60314,4.93344,4.66753,5.39997,5.06061,5.18133
P04083,ANXA1,4.7194,4.34484,4.73315,4.57081,4.52941,4.78513,4.01596,4.10064,4.15458,4.19591,4.28482,4.35177,4.30563,4.36576,3.7306,4.38841,3.77056,4.96989,3.94914,4.64262
Q9UBX7,KLK11,4.84778,3.71024,4.13178,3.94883,5.49607,4.12558,4.26453,4.86609,4.45527,4.03818,4.40332,4.21479,4.25497,3.95889,4.01948,4.16524,4.18476,4.82527,4.39274,3.9468
Q6UXH9,PAMR1,3.44668,3.54511,3.72013,3.36512,3.96077,2.92058,3.34083,3.66579,3.42894,3.02475,3.51578,3.25581,3.17985,3.67428,3.68876,3.05892,3.10206,4.14743,3.10632,2.75144
P24001,IL32,0.6989,0.19568,0.35668,0.34176,0.41799,0.62259,0.29156,1.04425,0.54726,0.79842,0.33558,1.19562,0.39688,0.28117,0.48029,0.62709,0.69902,0.95846,0.3941,1.02685
Q9BXR6,CFHR5,,8.41733,8.43398,8.32622,7.94479,8.05651,7.32408,7.9481,7.83603,7.48691,,8.54218,8.05056,8.55637,8.12961,8.11163,7.53553,8.42472,7.4483,7.76842
P56159,GFRA1,6.72318,6.31286,7.13189,6.31359,6.70761,6.06231,6.88351,6.77555,6.84778,6.45353,6.56062,6.43764,6.67373,6.76714,6.4973,6.73724,7.04168,7.15484,6.71673,6.60414
P01730,CD4,4.67128,4.45628,4.84123,4.40762,4.95472,4.50065,4.95578,4.62543,4.65007,4.92662,4.70735,5.04831,4.66463,4.55833,4.46789,4.83017,5.075,4.99248,4.4869,5.02948
O00241,SIRPB1,0.3622,1.64344,1.51628,1.82792,1.6691,1.04186,1.45566,1.68435,1.55552,1.72273,0.49257,1.49911,1.47139,2.04152,1.72658,1.39386,1.65078,1.96221,1.33119,1.49977
P41236,PPP1R2,3.36343,2.90149,,3.5079,3.54975,3.85957,4.27229,2.99128,4.23649,,2.77799,3.20296,,3.95932,3.5089,5.50784,3.35731,5.73185,3.78874,
P31431,SDC4,4.8864,5.98323,,6.96996,5.80972,5.95179,5.33537,4.94649,5.75075,,4.62179,6.18764,,6.09654,4.73128,5.30868,5.30114,6.41126,4.858,
P09467,FBP1,-0.079,0.05676,,-0.27625,-0.08139,5.92364,1.98751,-0.28988,0.07264,,-0.11466,0.92002,,-0.4039,0.18311,0.51164,1.74646,-0.42218,-0.13225,
P07196,NEFL,2.2727,3.01875,3.54805,2.79731,4.13839,2.76669,2.30881,3.25297,3.14484,2.26193,1.97016,4.27976,3.29424,2.64452,3.24692,2.10312,2.26274,2.83646,2.72538,2.49149
P16871,IL7R,,1.1898,1.44055,-0.4223,1.8639,1.43576,0.80805,0.23639,0.59502,-0.14181,,0.77624,1.87523,0.2675,1.52479,0.46015,0.25621,0.29976,-0.30381,0.24681
P78410,BTN3A2,0.61258,0.34072,1.16953,0.71804,0.51811,0.90673,0.98083,0.71219,0.76118,0.76973,0.5848,0.58335,0.7997,1.01888,0.48763,1.24273,0.79396,1.59085,0.43818,0.98876
P12318,FCGR2A,,2.64734,2.36943,2.49123,2.60069,2.53397,2.67567,2.9195,2.65546,2.559,,2.65383,2.63357,2.94257,2.60352,1.95433,2.90106,3.14314,2.58412,2.82628
Q16651,PRSS8,8.57256,8.52981,8.39379,9.04457,9.41864,8.94595,9.06282,8.62158,9.15781,8.97397,8.71348,8.8151,8.72112,9.23025,9.11944,8.9709,9.13874,9.00417,8.73032,9.00006
Q7Z6M3,MILR1,1.84256,1.84959,2.30586,0.77543,1.66443,0.9733,2.2962,1.66334,1.17225,1.83445,1.64329,2.14339,2.28798,1.19477,1.25728,1.75597,2.17577,2.06878,1.01148,1.83618
P18627,LAG3,1.07554,0.16083,0.35072,0.24973,0.58539,0.33665,0.72686,0.15549,0.88521,0.89929,0.83302,0.35384,0.31268,0.8457,0.80051,0.76216,0.71171,0.28487,0.7181,0.5995
Q8NBS9,TXNDC5,2.03112,1.44314,,2.54546,1.60136,3.21593,2.87077,1.60346,2.80442,,1.92102,2.11022,,2.15166,1.67027,3.64293,2.75309,3.84967,2.24579,
Q9NY25,CLEC5A,3.95381,3.88059,,4.22459,3.9751,3.56215,3.93895,3.82911,4.2541,,4.22953,4.00322,,4.04335,3.74959,3.77708,4.59922,4.19466,3.88319,
O95971,CD160,6.00154,4.79505,5.05027,5.50989,6.1825,4.83535,5.08357,5.36528,5.55206,5.47007,5.94895,5.08741,5.72337,5.83822,5.54124,5.10901,5.11589,5.40969,5.57471,5.44364
P06734,FCER2,3.97532,4.31911,4.41004,4.03634,4.73045,3.527,4.25989,4.63241,4.02816,4.4389,4.1398,4.37681,4.51943,4.51494,4.23758,3.51527,4.2646,5.01405,4.42427,4.17699
P29474,NOS3,2.01633,1.91718,2.30916,2.13405,,1.45795,0.80353,1.33586,1.54039,2.00495,1.78161,2.20087,2.3231,1.81828,,1.6229,1.65475,2.04862,1.61002,2.61277
P19022,CDH2,2.46309,2.23148,,2.79203,2.72477,3.25596,2.79221,2.69494,3.50941,,2.36021,2.54349,,2.3927,2.62729,2.27817,3.32696,2.92685,2.67247,
P03956,MMP1,9.84901,11.12849,11.18535,12.54433,10.23671,9.68915,9.9251,9.68355,9.85347,10.67079,8.76282,10.66431,9.57222,11.55141,9.80821,11.06889,8.99986,11.58797,8.7377,10.89827
Q9BQ51,PDCD1LG2,2.7148,2.56816,2.77022,2.73784,3.09193,2.52958,2.5121,2.79881,2.6326,1.38935,2.53971,2.63369,2.54889,3.08151,2.82291,2.55359,2.61204,2.78744,2.27506,1.33224
P08962,CD63,3.8047,3.94662,5.10918,4.70665,3.85436,4.0857,3.60714,4.28223,4.5252,3.59352,3.75479,4.18025,4.20708,4.53762,3.72947,4.72028,3.72262,5.81582,4.28541,4.36493
P15090,FABP4,3.58204,3.10743,2.49827,2.28356,3.12205,3.3991,2.41385,3.22171,2.0846,2.1385,2.94363,3.56225,2.99058,2.31465,3.02075,2.62179,2.28605,2.99502,1.81166,2.20901
Q9UN19,DAPP1,4.9496,3.80194,5.90965,3.30324,4.07733,3.56064,4.78183,3.89567,5.67891,2.57867,4.58994,3.70377,4.17323,5.1988,5.20269,6.57779,1.89507,7.55375,3.8834,6.1174
Q9UHC6,CNTNAP2,0.17288,0.1182,1.12347,-0.64295,0.88804,-0.46139,0.03385,-0.09301,-0.37089,-0.03123,0.09186,-0.07421,0.95422,-0.33815,0.73746,-0.18972,-0.06561,0.23174,-0.09634,0.07018
O14788,TNFSF11,5.37027,5.0492,5.25855,5.87385,5.31247,5.48951,5.46856,5.91479,6.21178,5.56407,5.92339,5.80514,6.01981,6.37832,5.21412,4.71219,5.19423,6.28324,5.78534,5.6157
Q92765,FRZB,5.18025,5.13923,5.00744,4.57001,4.96536,4.28393,4.89142,4.56864,4.62135,4.94076,5.16093,5.26149,4.96423,4.64549,4.52523,4.74955,5.07127,5.4911,4.24615,5.09168
Q12864,CDH17,6.65156,6.27138,5.63632,6.35269,6.75154,4.04158,6.5303,4.81683,6.7004,5.70387,6.46403,6.5586,6.13141,6.70387,6.44655,4.41495,5.6513,5.24335,6.83538,6.18644
P07711,CTSL,6.22776,6.33034,6.59531,6.28425,7.51692,8.49542,6.37102,6.93384,6.68795,6.31225,6.44592,6.5497,6.84133,6.42545,6.90134,6.33509,6.29459,7.18993,6.38881,6.42018
P04637,TP53,2.44192,2.10424,2.81705,2.1384,2.21277,1.7098,2.25278,2.38622,2.3835,2.24281,2.4282,2.64775,2.66771,2.32633,1.95745,2.41455,2.18399,3.25719,1.65854,2.40829
P80075,CCL8,10.57094,8.04929,9.75,10.40337,10.15888,10.81208,10.75822,9.93718,9.80761,9.11154,9.8416,8.54535,9.40351,9.55289,9.83731,10.96386,10.10636,11.08484,8.96716,9.32181
P80162,CXCL6,9.15025,8.09155,9.21024,9.86285,9.3338,8.80681,8.55774,8.10132,8.76822,8.14312,8.26701,8.36317,7.86687,8.61991,8.21341,9.06488,6.89063,10.2533,7.72168,9.43561
P35442,THBS2,5.62498,5.60529,5.07924,5.48742,5.49436,5.27567,5.31908,5.47607,5.46189,5.46599,5.53193,5.29411,5.26391,5.39594,5.39718,5.45304,5.45081,5.44432,5.42248,5.19094
O00175,CCL24,5.53361,5.73757,6.55032,6.49968,6.09837,5.0832,6.22127,5.64132,6.52621,5.89301,5.51764,6.01453,6.32072,6.80161,5.49697,4.1843,6.01015,6.08217,6.05925,6.14102
P29317,EPHA2,3.1689,2.60164,2.18292,2.8487,3.2364,2.56916,2.60185,3.11235,2.87687,3.09797,3.0683,2.60551,2.47345,2.89761,2.63312,2.48408,2.42275,3.38288,2.54002,3.09592
Q07108,CD69,2.33212,1.9573,5.70583,3.2222,2.47674,2.96074,2.51231,2.00453,2.94485,2.13968,2.47781,2.72872,3.24145,3.34757,3.16876,3.83361,1.3655,5.6273,2.32904,4.5547
P09603,CSF1,10.45237,10.23507,10.65686,10.2327,10.56208,10.24817,10.34753,10.35292,10.54689,10.46281,10.56635,10.40227,10.25783,10.43448,10.48842,10.71438,10.56844,10.67194,10.31452,10.35917
Q6UWV6,ENPP7,2.93753,2.14053,,2.21053,4.21327,0.96411,3.39559,3.16569,3.19209,,3.19917,2.52046,,1.8221,4.20167,1.62937,4.24873,3.19472,2.56976,
Q9BYH1,SEZ6L,6.02242,5.71689,5.02207,5.64932,6.01064,5.53489,5.58463,5.67941,5.62142,6.02274,5.86153,5.78312,5.47285,5.92231,5.75143,5.75507,5.59813,5.78065,5.5687,5.9215
Q15126,PMVK,6.1016,5.92209,8.04169,6.42851,6.2793,4.98464,6.91746,6.98829,7.24229,5.67746,5.55562,6.1525,6.96413,7.45299,6.57895,8.12327,4.89662,8.83179,6.1353,8.15682
Q99426,TBCB,6.31051,5.63605,8.39404,6.65564,6.2095,5.10978,6.115,7.00284,7.01327,5.53138,5.30232,5.8578,6.75582,7.7061,6.15,8.51944,4.70893,9.64214,5.84218,8.16716
P12830,CDH1,,4.16301,3.9292,4.09128,4.75525,4.03518,4.24265,3.73646,4.45568,3.53414,,4.18582,4.30615,4.48496,4.67071,3.72248,4.10851,4.13333,4.25191,3.73362
P04275,VWF,7.2513,7.56964,7.41994,6.18004,7.60143,7.3607,7.35724,6.39406,7.49073,7.11615,7.9071,7.45063,6.5481,6.09488,9.59194,7.87513,5.1943,8.37574,7.21629,8.77113
P22223,CDH3,7.4417,6.65929,6.98263,6.67426,7.40345,6.36554,7.32164,7.33967,7.00562,7.17607,7.05072,6.70772,6.92097,7.28772,6.99803,6.80374,7.46494,7.7541,6.9669,7.25155
O00622,CCN1,4.24919,3.76802,4.77932,5.99677,6.83029,5.14107,4.801,3.86645,4.68666,4.47109,3.87937,5.19636,4.24109,4.08244,4.32336,4.77535,4.25865,4.7152,5.4974,4.61626
Q15113,PCOLCE,,5.54313,5.73696,5.21803,6.35127,5.4778,5.82215,5.49064,6.00607,5.63046,,5.62422,6.02501,5.45956,5.66888,4.95009,5.78216,5.70896,5.43854,5.71737
P55145,MANF,8.70503,8.51526,8.90387,8.35413,8.58898,8.85038,8.87911,8.49718,8.9441,8.35759,8.55773,8.69113,8.89355,8.75602,8.91134,8.97773,8.13513,8.8939,8.77289,8.94765
Q12884,FAP,,1.61783,1.00891,1.14012,1.07402,1.53027,1.50368,1.15188,1.22988,1.19074,,1.66293,1.45133,1.78881,1.10355,1.34193,1.09293,1.93767,0.56503,1.5853
Q9UGM5,FETUB,,3.34302,2.98421,3.47839,2.85428,3.70382,2.99996,3.12329,3.43694,2.77034,,3.40736,3.09941,3.92394,3.76024,2.95614,3.00013,3.45152,3.1401,3.01503
Q13332,PTPRS,,1.32052,1.35328,1.24579,1.46802,1.3373,1.39813,1.67946,1.44311,1.56643,,1.27213,1.53862,1.73234,1.25332,1.36614,1.51215,1.76012,1.23717,1.62563
P13501,CCL5,,6.21559,6.98328,6.40131,4.75275,6.41838,5.02195,4.00568,6.31406,4.22282,,5.95913,5.76823,5.86889,4.17981,5.41239,4.07827,6.24716,4.76736,5.30483
P78380,OLR1,6.40617,7.00825,6.56542,6.37999,6.4425,5.77543,5.58794,5.86253,6.12619,6.38202,6.1639,6.95198,6.83264,6.22463,6.30415,5.64248,5.85063,6.92284,5.74961,6.94528
P02760,AMBP,7.11131,7.20387,7.02966,7.06933,7.26342,7.62082,7.10385,7.17966,7.05878,7.07283,7.18119,7.36927,7.06693,7.19134,7.39133,7.28104,7.22879,7.25649,6.94312,7.17522
P00749,PLAU,11.00025,9.72282,9.77629,9.80691,10.12996,9.85854,10.1773,9.95657,10.37772,9.60009,11.03179,10.04914,9.74564,10.04355,9.8179,9.94787,10.06844,9.92584,9.81909,9.31711
Q99727,TIMP4,3.3262,2.67062,3.10623,2.63306,3.38991,2.97213,3.10584,3.20157,3.01232,2.84796,3.08158,3.32385,2.79528,2.54378,4.01332,2.9093,3.09172,4.09739,2.44468,3.07339
Q9NRM6,IL17RB,5.35126,4.6471,5.11034,4.65298,5.02833,5.40014,6.01712,5.10526,5.23058,5.77517,4.97019,5.15006,4.96019,4.93629,4.6737,5.20999,5.5747,5.51546,4.6663,5.78123
P10147,CCL3,7.10215,7.07044,7.86142,7.52772,5.79826,7.46693,5.39402,6.94504,6.56535,6.52351,6.55429,7.46304,8.14421,7.25966,6.16284,7.50748,5.24119,7.59945,6.35015,6.86017
A4D1B5,GSAP,3.33721,1.37427,2.39316,7.88128,0.9683,4.25919,2.28321,2.62288,6.36579,5.9996,3.11095,1.49342,0.9683,7.95952,1.98096,2.89448,1.6172,2.99018,6.34954,6.3065
"Q11128,P21217",FUT3,2.40019,3.03932,2.66337,2.41535,2.95329,1.93707,2.01005,2.56872,2.21333,2.8824,2.9166,2.67154,2.35409,2.77489,2.72942,1.79814,1.67171,2.6186,2.14603,2.68976
Q14112,NID2,1.88312,2.91857,3.59836,3.44282,1.20603,2.31892,1.421,1.2673,2.2194,2.03146,1.4143,2.44548,2.26045,2.5645,1.36348,1.67482,0.9888,2.6571,1.88923,3.06521
Q15517,CDSN,1.19114,0.06474,0.87445,1.04009,1.09996,0.03025,0.78941,0.80147,1.58534,0.80716,0.74842,0.649,0.86498,1.17759,0.11537,0.20856,0.55425,1.11575,0.89781,0.84028
O43557,TNFSF14,4.3896,4.72861,4.52361,4.00222,3.56708,4.37807,4.2689,4.04202,3.50731,4.06524,4.06131,4.9224,4.04653,4.14715,3.59246,4.9052,3.79337,6.05122,2.89946,4.92733
P02778,CXCL10,10.33796,9.64428,10.49232,10.44891,10.46002,10.73955,10.50626,10.5276,10.05151,10.51226,9.96378,10.23039,10.809,9.98869,11.20301,11.84279,10.87418,10.60763,9.5241,10.03311
P01137,TGFB1,7.21978,7.30029,7.7028,8.02833,6.84338,7.42075,7.30467,6.87458,7.82846,6.9793,6.96599,7.5207,6.9002,6.8766,6.92178,7.47979,6.68337,8.15487,6.85744,7.40915
Q9Y5K6,CD2AP,5.31033,6.44352,,6.72529,6.71011,7.13876,7.75815,6.2117,6.19366,,4.2354,6.23429,,5.51554,5.00648,8.7637,6.84005,6.09665,7.29252,
P37108,SRP14,3.86297,3.22361,4.1746,4.02112,4.19324,2.76931,3.86732,3.62729,3.48027,3.74045,4.1352,4.06153,3.59379,3.72587,3.15156,3.71828,3.73114,4.88632,3.17128,4.56283
P21589,NT5E,10.32412,9.65202,9.07994,9.66994,10.57889,9.10897,9.32842,9.61641,9.99392,9.54062,10.18749,9.91551,9.64746,10.21588,10.01104,10.0839,9.29835,9.70118,9.40927,9.58687
P16870,CPE,4.63159,3.98207,4.00035,3.99164,4.35363,3.81423,4.46813,4.35206,4.12156,4.7738,4.51034,4.14958,4.22427,4.38953,3.71928,4.9047,4.21311,4.67847,4.27057,4.56077
O95388,CCN4,6.03005,5.34598,5.44879,5.93336,5.84257,5.24235,5.75514,5.93108,5.69605,5.96689,5.97048,5.53969,5.84463,6.02029,5.32526,5.51667,5.64687,6.40034,5.79508,5.83014
Q9HBG7,LY9,6.52102,6.3189,6.43579,6.21454,6.43004,6.38474,6.49343,6.36822,6.31834,6.69825,6.55105,6.63422,6.65061,6.39018,5.90827,6.75602,6.45924,6.66679,6.10402,6.71693
P01229,LHB,0.09289,2.31484,3.96835,1.95759,,-0.31261,0.96367,1.30164,1.18684,-0.18244,-0.24406,2.53517,2.25487,0.92688,,-0.31261,0.97701,1.48924,0.59255,-0.03458
P29350,PTPN6,1.80418,1.76165,3.75534,1.85708,2.03395,1.30507,2.24227,1.62926,2.72537,0.98662,1.68694,1.36888,1.85953,2.6618,2.47974,3.05563,1.15561,4.77577,1.51928,3.34913
P19320,VCAM1,,3.55768,3.47846,3.26144,3.83227,3.70467,3.7166,3.78856,3.77157,4.04752,,3.56467,3.67829,3.62706,3.74004,3.57303,3.68484,4.25996,3.48353,4.08039
P31994,FCGR2B,1.76134,1.60963,2.59343,3.3656,2.22044,2.78648,2.20525,2.67807,2.33734,1.90652,1.72914,1.81643,2.78103,3.45216,2.20568,1.4445,1.83766,2.61601,2.40402,2.10475
P02452,COL1A1,4.69836,4.25578,3.53909,4.17274,4.53661,3.93062,4.38376,4.34912,4.5153,4.78052,4.57426,4.26616,3.62309,4.29175,4.28644,3.71308,4.41781,4.64001,4.2895,4.654
P16278,GLB1,0.56154,0.72154,1.03352,1.04971,0.77735,1.11255,1.09906,0.72891,1.07402,0.93526,0.70502,0.84141,1.23242,0.98032,0.96662,1.01453,0.59645,2.02908,0.88136,0.92361
P05154,SERPINA5,,7.45859,7.1963,7.35339,8.09026,8.33813,7.88213,7.31072,7.64922,7.34833,,8.05428,7.94201,7.91631,8.06315,7.17785,7.85768,7.62134,7.61282,7.61087
Q9BQT9,CLSTN3,1.13851,1.02589,0.91157,0.82356,1.30073,0.85329,1.33426,1.1818,1.20437,0.97209,1.15536,1.03765,0.98812,1.03647,1.07013,0.8931,1.39862,1.10941,0.71032,0.90418
Q9HBB8,CDHR5,2.28191,1.85017,,2.46647,3.48117,2.6876,2.92298,2.44991,3.12814,,2.23113,2.10977,,2.3714,3.64538,2.63237,3.31606,2.71136,2.75948,
P15514,AREG,2.48973,2.26784,2.18637,2.41053,3.07712,2.32377,2.34716,2.39056,2.36234,2.44852,2.45529,2.38957,2.5295,2.57794,2.47439,2.45138,2.18348,2.64263,2.54772,2.66831
Q8N1Q1,CA13,4.78793,4.1518,,4.85744,4.35567,6.21182,5.5734,4.33683,5.86738,,4.36841,4.3981,,5.66427,4.92041,6.991,4.14518,7.86723,4.84914,
P32926,DSG3,7.40335,6.4775,6.82254,7.25801,7.19192,6.83588,7.22689,8.05946,6.96927,7.40066,7.10497,6.59884,6.85603,7.63337,6.72135,6.94383,7.26927,8.42202,7.12425,7.55939
P09326,CD48,7.54289,7.05031,7.13978,7.2151,7.52349,7.22047,6.86651,7.14224,7.47598,7.52277,7.57503,7.30222,7.30426,7.44452,7.06878,7.54883,6.76147,7.34886,7.43228,7.43267
P16109,SELP,9.27947,9.74766,11.17905,9.62684,9.31525,10.07857,10.56534,9.61267,9.27434,9.15454,8.91064,10.14756,9.45579,9.53092,9.13367,10.52378,8.95973,10.58641,8.73626,9.84965
P26010,ITGB7,0.66014,0.24708,,1.39801,1.03302,0.76558,0.46443,0.93557,1.10043,,0.55499,0.32139,,1.06727,0.49444,0.84921,0.98207,1.00185,0.63768,
Q08334,IL10RB,6.18236,5.93079,6.34533,6.02036,6.35572,6.12385,6.19997,6.49825,6.30851,6.06101,6.08934,6.23307,6.16768,6.42513,6.44452,5.95214,6.36769,6.61507,6.05635,6.14944
P15509,CSF2RA,5.74021,4.8705,5.76789,6.20437,5.4163,4.35709,5.94387,5.83865,5.67862,4.85008,5.49838,4.77773,5.63288,6.4789,5.3582,5.85478,6.16483,5.90774,5.70542,4.43969
P05113,IL5,1.73049,1.39225,2.87643,2.26829,1.86055,2.54105,0.91417,0.64263,0.64263,0.64263,1.91801,1.90119,1.79081,2.84167,1.37192,3.30985,1.02881,0.64263,1.30495,0.64263
Q9ULX7,CA14,9.4281,9.5384,8.4679,8.92814,,9.58183,9.04262,9.04445,9.53139,9.39278,8.72724,8.94275,8.48269,9.27903,,9.16609,8.68385,9.15471,9.68727,9.21426
P36941,LTBR,3.66782,3.20644,3.64127,3.31488,3.76451,3.49584,3.4979,3.68164,3.50995,3.74395,3.62684,3.38326,3.30808,3.47845,3.61932,3.18605,3.45496,3.87556,3.13415,3.95665
Q6DN72,FCRL6,2.33098,1.21279,1.28256,2.12814,3.1024,2.36622,1.66292,2.46722,2.39173,2.2549,2.07705,1.45509,1.16615,2.5493,2.61071,3.30068,1.62551,2.68086,2.41526,2.171
Q9H0C8,ILKAP,1.7325,0.8065,2.29257,1.96393,1.6779,2.23389,1.87508,1.6331,1.78279,1.27322,0.8065,1.60902,1.49888,2.07828,1.5007,2.61493,1.53594,3.58254,1.56669,2.39767
Q9Y4X3,CCL27,4.30888,3.85438,4.91169,4.49433,6.18527,5.83468,4.85038,4.40091,4.05291,4.2946,3.8429,5.79243,5.11573,4.29608,4.67539,4.8095,5.04923,5.44071,5.22853,5.1821
P19883,FST,10.63877,11.31046,11.45482,9.94557,9.75348,9.6367,10.73247,10.36543,10.35634,9.9979,10.42463,11.22999,11.05575,10.36626,10.58915,10.86398,10.4597,10.00215,10.12785,10.23777
P51888,PRELP,8.33893,8.10413,7.9081,8.01132,8.1825,8.01576,7.93742,8.20907,7.99991,7.9072,8.12774,8.11193,8.01231,8.06996,8.16011,8.18847,8.00876,8.26663,7.86458,8.05671
Q9HCM2,PLXNA4,5.72278,4.70951,6.75827,4.44038,4.42479,4.55503,5.53684,5.20354,6.0344,4.0323,5.23757,4.26269,4.8482,5.46904,6.01805,7.07965,3.86874,8.01727,3.95676,6.73826
Q86WD7,SERPINA9,2.83931,2.90086,4.13001,3.41235,,2.88628,2.10597,2.38633,1.77039,3.2141,2.52653,2.84142,4.27238,3.70186,,2.55589,1.89376,2.5223,1.48436,2.67232
P47712,PLA2G4A,1.89882,1.96282,4.01661,1.95601,2.15968,2.15083,1.54625,1.80083,1.95332,0.80414,1.5312,0.80414,1.7964,1.92735,1.61655,2.05968,1.45005,3.15415,0.80414,2.66154
O00221,NFKBIE,1.69811,1.49265,2.50328,1.76572,1.49793,1.7157,1.80431,1.9066,1.48844,1.24721,1.53463,1.67467,1.63057,1.91883,1.27925,2.27172,2.19574,2.67333,1.00939,2.05365
Q9NRG1,PRTFDC1,2.32118,1.69488,4.02563,2.44919,1.80203,1.89419,2.64884,3.21145,2.78418,1.40509,1.39163,1.87225,2.63492,3.42622,2.2517,4.67686,0.59067,5.51271,1.44791,4.09545
Q76LX8,ADAMTS13,5.18878,4.96774,5.1058,5.14005,5.09707,5.10404,5.09745,5.12249,5.19927,5.08372,5.29141,4.93622,5.0344,5.16263,5.12063,5.2011,5.04201,5.19773,5.03165,4.86965
Q13291,SLAMF1,3.22218,2.94073,2.93271,2.55988,2.63977,2.20016,2.69394,2.8833,3.14021,3.01203,2.94374,3.22833,2.93809,2.73438,2.3082,2.46926,3.05227,2.96497,2.92853,3.15751
P40121,CAPG,1.95613,2.14337,2.65569,1.22153,,1.59917,2.01417,2.15741,0.75983,2.54661,1.40883,2.20326,2.8304,1.20896,,1.14301,1.74068,2.15397,0.76894,2.551
Q8TD46,CD200R1,4.00638,3.62852,3.93881,4.57796,3.70496,3.92525,3.94559,3.94529,3.79128,3.68138,3.77447,3.75443,3.805,4.93566,3.21649,3.73642,4.01312,4.34191,3.51369,3.47805
Q96SM3,CPXM1,4.36472,5.29858,5.19973,6.38919,3.93588,2.33372,4.1451,3.93943,4.96061,2.49625,3.37087,5.17925,4.45559,5.57776,3.45304,3.38278,3.35986,5.34941,4.10941,3.06879
P14317,HCLS1,4.29684,3.66811,4.98876,3.65964,3.51238,4.62787,4.41539,3.45671,4.91568,3.81951,4.05367,3.56969,3.81736,4.09653,4.00069,5.53538,3.12117,6.13359,3.8608,5.84244
Q96AP7,ESAM,2.05096,2.2563,2.98363,2.50881,2.28207,2.07944,1.98543,1.90055,1.95525,1.90717,2.14058,2.08982,2.18342,2.50513,1.97158,1.55637,1.84633,2.64307,1.97209,2.16035
O43240,KLK10,1.43986,0.9492,,1.71945,2.73449,1.62481,1.7211,2.26687,2.04095,,1.06744,1.41003,,1.27845,1.09428,1.88528,2.62167,2.32876,1.40646,
P55774,CCL18,,5.30471,5.86773,5.29406,5.06857,5.81748,6.05336,5.18481,5.53321,4.11884,,5.59685,6.1549,5.45488,4.88074,5.52167,6.28277,5.57574,5.07593,4.26306
Q8NHL6,LILRB1,,2.87177,1.90711,1.94073,2.18233,2.01334,2.21932,1.93253,2.05804,2.04536,,2.93968,2.15583,2.35407,1.86837,2.02351,2.35153,2.18057,1.68207,2.10148
P16455,MGMT,5.30092,4.90663,5.99187,4.39077,4.9671,3.48755,5.48124,4.55454,5.72341,3.33414,4.72243,4.82917,4.93563,5.7226,4.94684,6.34003,3.83797,6.9103,3.76154,5.54182
P49763,PGF,7.43825,7.30848,7.63336,7.24516,,7.56468,7.76359,7.51565,7.41091,7.98997,7.40257,7.42521,7.84839,7.91094,,7.48123,7.69904,7.80242,7.52263,7.82237
Q96LA6,FCRL1,5.49267,5.00846,,5.70062,5.28091,4.89861,5.55384,5.10986,5.72905,,5.56766,5.28519,,5.52673,4.86622,5.15463,6.31901,5.46671,5.31189,
P29965,CD40LG,5.35369,4.73158,6.79122,5.43221,4.20829,4.35607,5.57569,5.26155,5.76891,4.28687,4.38509,5.21386,5.15851,6.40026,4.40276,6.38567,4.06905,8.03781,4.47949,6.38339
Q9UKP3,ITGB1BP2,4.50361,3.43139,6.44666,4.32152,4.22634,4.19209,4.30486,4.47004,4.95928,3.43943,3.89843,4.05707,4.72246,5.39085,4.45667,6.09285,2.76523,7.613,3.30842,5.24288
P05231,IL6,2.19286,2.57048,3.82986,1.59799,0.54676,1.54748,0.33183,1.252,0.84787,0.36639,1.42889,1.20347,2.70025,0.84077,1.44409,4.26954,1.48859,2.65854,0.661,0.87711
P15692,VEGFA,9.50531,9.39669,10.67929,11.22139,10.05768,8.8697,9.80777,9.36082,9.42758,9.60743,9.56308,9.57166,9.74584,10.46144,9.52769,10.07101,9.37529,9.67042,9.2929,9.49724
